412, 286, 170, 171
413, 368, 321, 174
414, 274, 147, 150
415, 458, 367, 452
416, 273, 148, 149
417, 393, 262, 383
418, 493, 477, 417
419, 369, 247, 134
420, 275, 154, 153
421, 394, 369, 357
422, 276, 155, 154
423, 394, 277, 276
424, 277, 263, 156
425, 395, 263, 381
426, 382, 350, 340
427, 391, 354, 386
428, 279, 163, 162
429, 280, 268, 164
430, 280, 163, 279
431, 281, 269, 167
432, 281, 151, 270
433, 285, 169, 282
434, 282, 169, 146
435, 283, 171, 172
436, 402, 397, 286
437, 284, 139, 152
438, 316, 206, 314
439, 444, 443, 336
440, 285, 270, 168
441, 502, 468, 499
442, 286, 271, 170
443, 476, 451, 418
444, 321, 175, 174
445, 288, 182, 181
446, 295, 181, 180
447, 289, 184, 183
448, 296, 183, 182
449, 414, 338, 404
450, 290, 185, 184
451, 291, 254,  66
452, 367, 291, 173
